sample.file.name	md5sum	sha512sum
SRR8581589_GSM3609748_K562_CTCF_pAG_hi-Ca_27m_20181026_SH_HsSc_CTCF_G27m_1018_Homo_sapiens_OTHER_1.fastq.gz	9b72c67475969554946a999d4fae0ff4	46575f4a4197dd523cb6241e478fafde6a90e35c033ebdb8a34ca57ab5b6da7943554aef452e112ebfbaeec502cbc890d35677c90f93561fcc33501bd85e2bb9
SRR8581589_GSM3609748_K562_CTCF_pAG_hi-Ca_27m_20181026_SH_HsSc_CTCF_G27m_1018_Homo_sapiens_OTHER_2.fastq.gz	970f26b7a3457a6cdacda134a8bffed4	e26ee489b0a4618ca60744ead822e71a40268d9cf676b68c596646b3c9a818e2238c4cd3f35fba9068584a71f9ca157b5ad777bc27c8ad159573b94130572703
SRR8581590_GSM3609748_K562_CTCF_pAG_hi-Ca_27m_20181026_SH_HsSc_CTCF_G27m_1018_Homo_sapiens_OTHER_1.fastq.gz	adcd6976124581770b805c6f58a376b8	85dfed2800fe258c1f42f8e6eff2cd8272c1b55a382e0f21b4f0e084468e802b031a0a39aaf113871e157e682a6fad64304e6fd7c4c2cf5b559e661d686f0f61
SRR8581590_GSM3609748_K562_CTCF_pAG_hi-Ca_27m_20181026_SH_HsSc_CTCF_G27m_1018_Homo_sapiens_OTHER_2.fastq.gz	825ef61080a2edb9c5dedc0b52974d93	02560cc5ebc169c024ff19d9789f3f5e01668c76535f0f04afadc185b197b1a999ef300206f1e28c44bc7a54e1d3657c2e05c73a444f3498310ddecf002fcb28
SRR8581594_GSM3609752_K562_CTCF_pA_hi-Ca_27m_20181026_SH_HsSc_CTCF_27m_1018_Homo_sapiens_OTHER_1.fastq.gz	9d37a3c01909fb3bada00d87b5fad650	2d8cc823b08aacfbfb62873e6171cb5d6b2c4799d3fc595ae7a1fabe4528b981e22386cac6162c6a29bdf6a8fbb0dbbd084251b226c8e51af51bfc2641ca61ca
SRR8581594_GSM3609752_K562_CTCF_pA_hi-Ca_27m_20181026_SH_HsSc_CTCF_27m_1018_Homo_sapiens_OTHER_2.fastq.gz	4a6d95e7f8afd9ff59e731c6f5293542	bff98cfea5759ec4adc457cd395ec059cbddf57014630f79d226511b0ef26c1a5a221857d4f9ff82ee1d009b92b2dcf67972f0f088fdfdccfd1684b9963c24bb
SRR8581599_GSM3609757_K562_H3K27Ac_Abcam_hi-Ca_27min_20180306_SH_HsSc_Kac_27m_0227_Homo_sapiens_OTHER_1.fastq.gz	fd37a1bcfee399dcdbf7d319aa40a1fd	aafbc03e9e436aa22b8e4a4d28c5672a651f13b0b6e5d9e01de830d5d5b03d1e24dae6ff552311944fa5d940308eb26221ade1d90eb05c346d9673101a6ff336
SRR8581599_GSM3609757_K562_H3K27Ac_Abcam_hi-Ca_27min_20180306_SH_HsSc_Kac_27m_0227_Homo_sapiens_OTHER_2.fastq.gz	8d90f8c05a0a4af4ec3d654b670c9fe2	236cb2a92043db975f09b922516d4085556ce126fb3ec192220aff4ee4562c35ea3b40ca6073fa5cd48de1eac70818f737ed6b1890d08efd21e982fb659750b8
SRR8581607_GSM3609766_K562_H3K27Ac_Milli_pAG_hi-Ca_27m_20181026_SH_HsSc_KAc_G27m_1018_Homo_sapiens_OTHER_1.fastq.gz	a3324b74e846e7ca34840af0f674842a	fe2f338312d42dadbff116a9ab35f9f6678a1d02080967225bce93bc9188a34e77d681c55d510725509de2e8fcf0cba6803d6cc0e8d7c30020d0c44a97feb109
SRR8581607_GSM3609766_K562_H3K27Ac_Milli_pAG_hi-Ca_27m_20181026_SH_HsSc_KAc_G27m_1018_Homo_sapiens_OTHER_2.fastq.gz	3560a37b8854825ce994c7202ca75086	84bdae03c8ef4a0716953dcb46896b302a1faa92883b38f4e636863b72c5bd0d1e6a294e1c21debad73c2fc1f8752bb076766d7f235bc7006d5b9e126af82058
SRR8581608_GSM3609766_K562_H3K27Ac_Milli_pAG_hi-Ca_27m_20181026_SH_HsSc_KAc_G27m_1018_Homo_sapiens_OTHER_1.fastq.gz	5eba3dd53bdce2eb61bd0550279e2b39	4ed4c21101ee52ff206479751c56d5dcd5e0cc7870bab865879a1806a516970346064f5c58328aef7bd851f2bc5ab8cfb918739de51020fcdd400544d57b885b
SRR8581608_GSM3609766_K562_H3K27Ac_Milli_pAG_hi-Ca_27m_20181026_SH_HsSc_KAc_G27m_1018_Homo_sapiens_OTHER_2.fastq.gz	6f1e75b7925b1b2aef0819680e427e2e	13577ec6e256bd9000398217c0cca7ebd6603962fd4cbc280903fffa02011c24ff1f17f84697d2dba66be608160534f90919ee0fb2730db6544f5b895c639a90
SRR8581612_GSM3609770_K562_H3K27Ac_Milli_pA_hi-Ca_27m_20181026_SH_HsSc_KAc_27m_1018_Homo_sapiens_OTHER_1.fastq.gz	60d018c8932b4b26c192a5a2fe5f662e	9485952c9ee1ea873542b41550d4cba10ec0a7857f531c735d5e1427ced532fb31205b7c5e3824b28f1759824f36d8b05c3c3a74b41122275ef458c252827284
SRR8581612_GSM3609770_K562_H3K27Ac_Milli_pA_hi-Ca_27m_20181026_SH_HsSc_KAc_27m_1018_Homo_sapiens_OTHER_2.fastq.gz	1e428adef525facd2eb94739a70a4518	e1e67f39d717c464b7ed56c9947fec27a018ab86c30d21bdf0c91a5652a90deb74fa270b116cbf2d4cb9348cdeda7647a6b24e6617d0a255cb9da2ae15c2ed02
SRR8581615_GSM3609773_K562_IgG_hi-Ca_20180314_SH_HsSc_IgG_0305_Homo_sapiens_OTHER_1.fastq.gz	7bf414582388f912aed909660eab87f1	91d7c809bfebbaf36b708cdc575391c31c0cd30232c766582ab9af6fa6d4509d1e9e113cb500b25d030169f1c58cf4e10358860d946bb068542cf7a9c7f1cce3
SRR8581615_GSM3609773_K562_IgG_hi-Ca_20180314_SH_HsSc_IgG_0305_Homo_sapiens_OTHER_2.fastq.gz	ca960c48a64763ebf37ae73ba3f47288	f260996dbb468ca5478dfdbebc8d64c042cba55e4e47f9ab2a210accbf438b4b6dcf36e87d874016fb5c07b24d714aae9687d923743024aa1dababd5e34e3ac2
SRR8581618_GSM3609776_K562_PolIISer5phos_mouseAb_pAG_hi-Ca_pellet_9min_20190129_SH_HsSc_S5m9p_12119_Homo_sapiens_OTHER_1.fastq.gz	a9f738bf5e646b3ffcbb07c31065f2cd	60abd4456e0ce1594c0a88b7e05e1bc7389ab80b926437acc18c51c58a5365672fc2291995792239fd1cedf24628d0ca18f8e025aa28a4c8fae87ec52765ddbf
SRR8581618_GSM3609776_K562_PolIISer5phos_mouseAb_pAG_hi-Ca_pellet_9min_20190129_SH_HsSc_S5m9p_12119_Homo_sapiens_OTHER_2.fastq.gz	290f7d0fa9a4603e276696c39fb171e2	1179a411eb8b7a9fef7938ac798ba6582f8769a8d69fabb8b8a87942f12c575954379bbf4a5c1ce1548a93386451bebfc05a2b7f435b3fe3e02b449f0c0dd460
SRR8581622_GSM3609780_K562_PolIISer5phos_rabbitAb_pAG_hi-Ca_pellet_9min_20190129_SH_HsSc_S5_9p_12119_Homo_sapiens_OTHER_1.fastq.gz	91f8fe15c5569d63b638fb5a288a5604	c650cd05a6a4c189606e21ddbcbe0b6413ed745d217fd3f9beceaa6e297d163ee5c0e4fedc920ba6608b41d9929db9d27a1b3d48379ebcd66c79c8a2c6fa6443
SRR8581622_GSM3609780_K562_PolIISer5phos_rabbitAb_pAG_hi-Ca_pellet_9min_20190129_SH_HsSc_S5_9p_12119_Homo_sapiens_OTHER_2.fastq.gz	a610fef3bee1fe3788aaf1a4bea3a94b	63de975022f17b2b29868056158c2350cf9948f0762b37ff058293a994a54b4fa299b9a6456f2582890e260679e5749f23e9d28524933b11595dec840c05e78a
SRR8581624_GSM3609782_K562_PolIISer5phos_rabbitAb_pAG_hi-Ca_supn_9min_20190129_SH_HsSc_S5_9_012119_Homo_sapiens_OTHER_1.fastq.gz	c8dbdd99918f23a4d81a9582b4a93668	1c6b86aad92928e23ee37570d45fef3a548687bf5392e45dd744e281c63fbd48e818e12e3aa29204432db5a91075206b10832428922ec603cc1cc5b9cb049e75
SRR8581624_GSM3609782_K562_PolIISer5phos_rabbitAb_pAG_hi-Ca_supn_9min_20190129_SH_HsSc_S5_9_012119_Homo_sapiens_OTHER_2.fastq.gz	6304a34ebb98be48863747d30556ed4e	a07919db0a51b13a401f2062f64f818eb58e715b72b414233440fb7868605797799c9efeadc58998eb576d95ca7ec5455163e2d6e6c924a629907aa7e6560a5f
